RF_MES	VL_BRENT	VL_NAFTA_ARA	PR_PROG_EUR	PR_PROG_USA	PR_PROG_ASIA	ETENO_SPOT_EUR	VL_ETENO	ESTIMATIVA	ERRO	% ACERTO			
1	76.19	715.41	0.05	0.09	0.05	1191.25	1242	1318.6741	76.6741	93.8265619968	1297.9859	55.9859	95.4922785829
2	73.64	679.61	0.04	0.06	0.05	1133.75	1286	1265.5245	20.4755	98.40781493	1262.6554	23.3446	98.1847122862
3	78.9	731.41	0.05	0.09	0.1	1097.5	1276	1260.9931	15.0069	98.8239106583	1282.41	6.41	99.4976489028
4	84.89	736.83	0.07	0.08	0.08	1103.7	1289	1323.1697	34.1697	97.3491311094	1337.2373	48.2373	96.2577734678
5	75.17	681.24	0.06	0.08	0.09	1163.13	1203	1284.776	81.776	93.2023275145	1287.1821	84.1821	93.002319202
6	74.85	659.26	0.05	0.04	0.08	1050	1184	1220.5245	36.5245	96.915160473	1247.0558	63.0558	94.6743412162
7	75.64	627.95	0.03	0.03	0.05	979	1226	1223.0927	2.9073	99.762862969	1235.4474	9.4474	99.2294127243
8	77.15	663.58	0.05	0.02	0.05	1027.5	1212	1246.1144	34.1144	97.1852805281	1258.0355	46.0355	96.2016914191
9	77.8	680.08	0.08	0.01	0.05	1023.75	1245	1240.9625	4.0375	99.6757028112	1258.069	13.069	98.9502811245
10	82.75	755.2	0.11	0.07	0.08	1119.5	1320	1324.6062	4.6062	99.6510454545	1319.1116	0.8884	99.9326969697
11	85.33	781.35	0.04	0.09	0.05	1075	1332	1362.1106	30.1106	97.7394444444	1318.4261	13.5739	98.9809384384
12	91.36	842.32	0	0.03	0.02	1196.25	1329	1447.0148	118.0148	91.1200300978	1402.664	73.664	94.457185854
1	96.54	854.71	0.02	0.04	0.01	1352.5	1502	1528.1084	26.1084	98.2617576565	1505.5026	3.5026	99.766804261
2	103.76	881.64	0.04	0.04	0.01	1497.5	1560	1653.1126	93.1126	94.0312435897	1618.5484	58.5484	96.2468974359
3	114.6	981.45	0.06	0	0.07	1593.75	1672	1693.7769	21.7769	98.6975538278	1726.2227	54.2227	96.7570155502
4	123.49	1052.68	0.07	0.07	0.11	1566	1748	1750.5135	2.5135	99.8562070938	1776.7162	28.7162	98.3571967963
5	114.56	986.41	0.08	0.08	0.08	1562.5	1796	1726.1537	69.8463	96.1110077951	1712.6405	83.3595	95.3586024499
6	114.04	933.32	0.08	0.06	0.06	1400	1713	1663.8064	49.1936	97.128219498	1660.1821	52.8179	96.9166433158
7	116.89	979.8	0.06	0.03	0.08	1316	1576	1605.6051	29.6051	98.1215038071	1641.4746	65.4746	95.8455203046
8	110.37	940.13	0.03	0.02	0.12	1424.88	1612	1585.4118	26.5882	98.3506079404	1634.8199	22.8199	98.5843734491
9	113.13	940.05	0.07	0.08	0.14	1355	1551	1597.2332	46.2332	97.0191360413	1633.0623	82.0623	94.7090715667
10	109.44	882.35	0.07	0.1	0.09	1231.25	1529	1577.1335	48.1335	96.8519620667	1568.0614	39.0614	97.4452975801
11	110.66	864.61	0.07	0.04	0.03	1200	1503	1589.2681	86.2681	94.2602727878	1571.855	68.855	95.4188290086
12	107.84	876.69	0.07	0	0.02	1187.5	1425	1543.9512	118.9512	91.6525473684	1538.5028	113.5028	92.0348912281
1	110.58	950.61	0.07	0.04	0.05	1381.25	1459	1596.8704	137.8704	90.5503495545	1617.3041	158.3041	89.1498217958
2	119.56	1026.88	0.07	0.07	0.09	1512.5	1616	1706.158	90.158	94.4209158416	1727.8308	111.8308	93.0797772277
3	125.33	1068.84	0.06	0.1	0.09	1626	1743	1821.0915	78.0915	95.519707401	1811.8321	68.8321	96.0509409065
4	119.54	1029.51	0.05	0.15	0.09	1525	1786	1771.2842	14.7158	99.1760470325	1731.7127	54.2873	96.9603975364
5	110.2	877.11	0.08	0.13	0.09	1337.5	1693	1633.3409	59.6591	96.4761311282	1616.7653	76.2347	95.4970643828
6	94.84	729.49	0.08	0.12	0.09	1107	1508	1432.7046	75.2954	95.0069363395	1429.991	78.009	94.8269893899
7	102.59	825.4	0.09	0.02	0.09	1137.5	1272	1426.5379	154.5379	87.8507940252	1485.8497	213.8497	83.1879166667
8	113.37	935.18	0.08	0.01	0.09	1278	1458	1552.6668	94.6668	93.5070781893	1607.1877	149.1877	89.7676474623
9	112.86	966.06	0.14	0.03	0.12	1412.5	1674	1595.037	78.963	95.2829749104	1645.6176	28.3824	98.304516129
10	111.6	954.59	0.11	0.08	0.06	1412.5	1674	1671.5117	2.4883	99.8513560335	1637.3284	36.6716	97.8093428913
11	109.11	930.99	0.06	0.05	0.06	1282	1637	1583.1505	53.8495	96.7104764814	1571.4877	65.5123	95.9980268784
12	109.35	938.47	0.04	0.05	0.06	1308.75	1673	1601.879	71.121	95.748894202	1581.8476	91.1524	94.5515600717
1	113.01	932.96	0.08	0.05	0.02	1462.5	1696	1689.3253	6.6747	99.6064445755	1674.8148	21.1852	98.7508726415
2	116.28	991.86	0.07	0.03	0.02	1500	1701	1711.2501	10.2501	99.3974074074	1702.8639	1.8639	99.8904232804
3	108.37	910.29	0.06	0.01	0.02	1473	1717	1647.5216	69.4784	95.9535002912	1643.0852	73.9148	95.6951193943
4	101.92	815.7	0.1	0.09	0.04	1251.25	1648	1547.6775	100.3225	93.9124696602	1525.7272	122.2728	92.5805339806
