RF_MES	VL_BRENT	VL_NAFTA_ARA	PR_PROG_EUR	PR_PROG_USA	PR_PROG_ASIA	ETENO_SPOT_EUR	VL_ETENO
1	76.19	715.41	0.05	0.09	0.05	1191.25	1242
2	73.64	679.61	0.04	0.06	0.05	1133.75	1286
3	78.9	731.41	0.05	0.09	0.1	1097.5	1276
4	84.89	736.83	0.07	0.08	0.08	1103.7	1289
5	75.17	681.24	0.06	0.08	0.09	1163.13	1203
6	74.85	659.26	0.05	0.04	0.08	1050	1184
7	75.64	627.95	0.03	0.03	0.05	979	1226
8	77.15	663.58	0.05	0.02	0.05	1027.5	1212
9	77.8	680.08	0.08	0.01	0.05	1023.75	1245
10	82.75	755.2	0.11	0.07	0.08	1119.5	1320
11	85.33	781.35	0.04	0.09	0.05	1075	1332
12	91.36	842.32	0	0.03	0.02	1196.25	1329
1	96.54	854.71	0.02	0.04	0.01	1352.5	1502
2	103.76	881.64	0.04	0.04	0.01	1497.5	1560
3	114.6	981.45	0.06	0	0.07	1593.75	1672
4	123.49	1052.68	0.07	0.07	0.11	1566	1748
5	114.56	986.41	0.08	0.08	0.08	1562.5	1796
6	114.04	933.32	0.08	0.06	0.06	1400	1713
7	116.89	979.8	0.06	0.03	0.08	1316	1576
8	110.37	940.13	0.03	0.02	0.12	1424.88	1612
9	113.13	940.05	0.07	0.08	0.14	1355	1551
10	109.44	882.35	0.07	0.1	0.09	1231.25	1529
11	110.66	864.61	0.07	0.04	0.03	1200	1503
12	107.84	876.69	0.07	0	0.02	1187.5	1425
1	110.58	950.61	0.07	0.04	0.05	1381.25	1459
2	119.56	1026.88	0.07	0.07	0.09	1512.5	1616
3	125.33	1068.84	0.06	0.1	0.09	1626	1743
4	119.54	1029.51	0.05	0.15	0.09	1525	1786
5	110.2	877.11	0.08	0.13	0.09	1337.5	1693
6	94.84	729.49	0.08	0.12	0.09	1107	1508
7	102.59	825.4	0.09	0.02	0.09	1137.5	1272
8	113.37	935.18	0.08	0.01	0.09	1278	1458
9	112.86	966.06	0.14	0.03	0.12	1412.5	1674
10	111.6	954.59	0.11	0.08	0.06	1412.5	1674
11	109.11	930.99	0.06	0.05	0.06	1282	1637
12	109.35	938.47	0.04	0.05	0.06	1308.75	1673
1	113.01	932.96	0.08	0.05	0.02	1462.5	1696
2	116.28	991.86	0.07	0.03	0.02	1500	1701
3	108.37	910.29	0.06	0.01	0.02	1473	1717
4	101.92	815.7	0.1	0.09	0.04	1251.25	1648
5	102.49	833.2	0.11	0.17	0.04	1130	1511
6	102.91	843.6	0.09	0.11	0.05	1270	1544
7	107.95	876.79	0.07	0.03	0.05	1300	1531
8	111.25	913.88	0.03	0.07	0.06	1355	1611
9	111.89	929.81	0.11	0.04	0.08	1385	1682
10	109.04	901.87	0.15	0.02	0.1	1370	1672
11	107.97	929.33	0.09	0.02	0.04	1222	1612
12	110.81	956.78	0.09	0.03	0.04	1284.38	1679
1	108.25	918.58	0.04	0.03	0.01	1333	1688
2	108.87	913.65	0.02	0.02	0.03	1233.75	1639
3	107.54	911.41	0.04	0.05	0.07	1235	1633
4	107.63	925.63	0.06	0.09	0.09	1200	1609
5	109.61	937.84	0.08	0.14	0.06	1207	1593
6	111.65	952.45	0.07	0.11	0.06	1301.25	1590
7	106.64	935.51	0.05	0.09	0.05	1336.25	1651
8	101.61	865.81	0.07	0.06	0.07	1303	1605
9	97.3	841.36	0.08	0.07	0.1	1184.38	1483
10	87.4	711.52	0.15	0.09	0.09	1232.1	1458
11	78.89	628.94	0.15	0.08	0.07	1194.25	1322
12	62.53	491.98	0.09	0.06	0.05	1043.75	1245
1	47.86	396.91	0.08	0.08	0.05	847.9	1023
2	58.13	502.13	0.07	0.04	0.03	825.38	919
3	55.92	504.86	0.1	0.02	0.05	945.25	984
4	59.76	525.61	0.1	0.04	0.11	1105	1044
5	64.32	550.86	0.13	0.04	0.16	1280.7	1166
6	61.69	538.07	0.13	0.02	0.09	1350.13	1240
7	56.54	472.37	0.05	0.03	0.07	1239.1	1216
8	46.64	403.38	0.06	0.02	0.02	1081.75	1152
9	47.61	411.66	0.14	0.05	0.02	947.88	1061
10	48.56	430.26	0.1	0.07	0.05	810.2	1016
11	44.29	419.18	0.08	0.07	0.05	889.38	969
12	38.21	387.41	0.04	0	0.06	928.88	1010
1	30.69	317.83	0.04	0.01	0.05	868	977
2	32.48	292.71	0.04	0	0.04	813.5	920
3	38.49	350.64	0.05	0.02	0.07	820.38	901
